Customer Id,Location,Product Type,Product Warranty(months),Extended Warranty Service,Gender,Year of Purchase,,price in dollars,Age,service done in warranty period,service done outside warranty period
15634602,AFR,Dell MS 116 Wired Optical Mouse,36,0,Female,2014,,1397,20,5,0
15574012,EUR,Dell MS 116 Wired Optical Mouse,12,24,Male,2015,,1218,30,5,1
15592531,SAR,Dell Dual Video USB 3.0 Docking Station - D1000,12,24,Male,2017,,1434,40,1,3
15656148,SEAR,Dell USB 3.0 Docking Station - D3100,12,12,Female,2018,,1659,23,3,0
15643966,WPR,Dell MS111,24,12,Male,2016,,1224,45,4,3
15555218,AFR,Dell PowerEdge T430 Tower Server,36,24,Male,2017,,1485,34,2,1
15568982,SAR,Dell MS111,24,24,Female,2014,,1685,56,3,2
15577657,WPR,Dell PowerEdge T430 Tower Server,36,24,Male,2015,,1360,23,2,3
15699309,SEAR,Dell PowerEdge T430 Tower Server,36,0,Female,2014,,1665,34,4,2
15725737,WPR,15 r inspiron ,36,24,Male,2015,,1700,23,4,2
15625047,AFR,Latitude 3440 ,12,0,Female,2017,,1435,26,2,0
15738191,AMR-N,Dell PowerEdge T430 Tower Server,36,36,Male,2016,,1719,57,4,2
15736816,AMR-S,15 r inspiron ,12,12,Male,2014,,1328,89,2,2
15700772,EMR,Dell PowerEdge T430 Tower Server,36,24,Male,2015,,1328,34,0,2
15728693,EMR-M,15 r inspiron ,12,0,Female,2017,,1307,56,5,0
15656300,EUR,Chromebook 13,12,0,Male,2018,,1515,35,5,0
15589475,SAR,15 r inspiron ,12,24,Female,2018,,1590,45,4,3
15706552,WPR,Dell PowerEdge T430 Tower Server,36,0,Male,2015,,1360,26,3,3
15750181,SAR,15 r inspiron ,12,12,Male,2014,,1475,25,1,0
15659428,SEAR,Dell PowerEdge T430 Tower Server,36,24,Female,2017,,1431,26,3,2
15788448,AMR-N,Inspiron 14 3421    ,12,12,Male,2017,,1282,23,1,1
15717426,EMR,Latitude 15 3000 series 3550  ,12,0,Male,2016,,1697,45,3,3
15585768,AMR-N,Latitude 3180,12,0,Male,2016,,1406,55,0,2
15619360,AMR-S,Latitude 3560  ,12,24,Male,2017,,1270,54,2,0
15738148,EMR,Latitude 5480,12,0,Female,2018,,1304,45,0,1
15687946,EMR-M,Latitude 5490,12,12,Female,2014,,1546,34,3,0
15684171,SAR,Latitude D520,12,0,Female,2015,,1506,67,0,0
15754849,WPR,Alienware 15,12,24,Female,2014,,1800,21,2,2
15768193,AMR-S,Opitplex 320,36,0,Male,2014,,1496,26,3,0
15683553,AFR,Optilex 750,36,36,Female,2015,,1800,35,2,3
15702298,AMR-N,Optiplex 210L,36,24,Male,2017,,1633,36,1,3
15569590,AMR-S,Optiplex 270,36,24,Male,2016,,1406,37,5,2
15760861,EMR,Optiplex 270,36,12,Male,2014,,1601,38,0,2
15630053,EMR-M,Optilex 750,36,24,Male,2015,,1406,34,3,0
15647091,EUR,Optiplex 210L,36,24,Male,2017,,1283,35,3,0
15623944,SAR,Dell Km117 Wireless Keyboard Mouse,36,24,Female,2018,,1509,36,5,2
15751208,EMR-M,Dell MS111,24,36,Male,2018,,1309,37,5,0
15789484,SAR,Vostro 1510,12,36,Female,2018,,1684,26,0,1
15696061,SEAR,Vostro 1510,12,48,Female,2014,,1538,27,5,2
15641582,WPR,Dell Km117 Wireless Keyboard Mouse,12,24,Male,2017,,1581,28,1,3
15638424,EMR-M,Dell PowerEdge T430 Tower Server,36,36,Female,2016,,1711,27,1,0
15812518,WPR,Xps 15,12,24,Female,2018,,1569,26,3,2
15770811,SEAR,Chromebook 14,12,24,Male,2015,,1211,28,1,1
15575185,AMR-N,Dell PowerEdge T30 Server,36,0,Male,2017,,1507,34,4,1
15803136,EMR,Dell Monitor?E2216HV),36,0,Female,2014,,1314,27,5,3
15706021,EMR-M,Dell PowerEdge R440 Rack Server,36,24,Female,2015,,1369,42,4,2
15663706,EUR,Vostro 1540 ,24,12,Female,2015,,1850,29,3,0
15588670,WPR,Alienware 15,12,24,Female,2014,,1850,30,2,2
15738751,SAR,Dell PowerEdge T30 Server,36,36,Female,2014,,1800,38,0,1
15805254,SEAR,Dell PowerEdge T30 Server,36,48,Female,2017,,1800,38,1,3
15762418,WPR,Alienware 17,12,36,Male,2018,,1750,20,2,3
15625759,AFR,Dell PowerEdge T30 Server,36,12,Male,2014,,1627,37,4,3
15622897,AMR-N,Dell PowerEdge T30 Server,36,24,Female,2018,,1406,27,1,1
15767954,AMR-S,Opitplex 320,36,0,Female,2014,,1424,26,5,2
15817777,SAR,Dell PowerEdge T30 Server,36,24,Male,2017,,1473,30,1,2
15757535,EMR,Dell PowerEdge T30 Server,36,24,Female,2016,,1635,31,3,1
15731511,AMR-N,Dell MS 116 Wired Optical Mouse,12,0,Male,2016,,1900,29,0,1
15809248,AMR-S,Dell Dual Video USB 3.0 Docking Station - D1000,12,24,Female,2016,,1700,31,5,3
15640635,EMR-M,Dell MS 116 Wired Optical Mouse,12,24,Male,2017,,1900,30,4,2
15676966,EUR,Dell KB216 Wired Multimedia USB Keyboard,12,0,Male,2015,,1400,31,3,2
15699461,SAR,Dell KB216 Wired Multimedia USB Keyboard,12,0,Male,2014,,1339,32,5,1
15738721,WPR,Dell MS 116 Wired Optical Mouse,36,12,Male,2015,,1800,34,2,3
15693683,SAR,Dell PowerEdge T30 Server,36,0,Male,2014,,1900,38,5,3
15604348,SEAR,Dell MS 116 Wired Optical Mouse,12,24,Male,2017,,2000,38,1,2
15633059,WPR,Dell Dual Video USB 3.0 Docking Station - D1000,12,24,Male,2018,,1583,40,3,1
15808582,AFR,Dell USB 3.0 Docking Station - D3100,12,12,Female,2014,,1990,55,1,2
15743192,AMR-N,Dell KB216 Wired Multimedia USB Keyboard,12,0,Female,2018,,1687,50,5,2
15580146,AMR-S,Dell PowerEdge T30 Server,36,0,Male,2015,,1800,39,0,0
15776605,AFR,Dell PowerEdge T30 Server,36,12,Male,2014,,1750,39,2,1
15602312,EUR,Dell MS111,24,12,Male,2015,,2000,28,3,1
15665790,EUR,Dell KB216 Wired Multimedia USB Keyboard,12,12,Male,2014,,1432,30,0,2
15715951,SAR,Dell MS111,24,24,Male,2016,,1900,31,2,0
15609618,SAR,Dell Km117 Wireless Keyboard Mouse,12,0,Male,2017,,1251,32,5,1
15675522,SEAR,Dell Km117 Wireless Keyboard Mouse,12,0,Female,2015,,1596,33,4,1
15705512,WPR,15 r inspiron ,36,24,Female,2014,,2200,34,4,2
15698028,AFR,Latitude 3440 ,12,0,Female,2015,,1267,29,3,2
15690673,AMR-S,Chromebook 13,12,0,Female,2018,,1394,29,0,1
15627360,SAR,Elitebook 1030,12,12,Male,2015,,1367,29,3,0
15671137,WPR,Elitebook 1040,12,24,Female,2017,,1338,30,4,0
15591607,WPR,Inspiron 14 3421    ,12,24,Male,2018,,1600,31,2,3
15718369,SAR,Latitude 15 3000 series 3550  ,12,0,Female,2014,,1592,32,0,1
15677871,SEAR,Latitude 3180,12,0,Male,2015,,1243,32,3,2
15642004,WPR,Latitude 3560  ,12,24,Male,2017,,1499,32,3,2
15712543,AFR,Latitude 5480,12,24,Male,2014,,1453,31,0,3
15584518,AMR-N,Latitude 5490,12,12,Female,2015,,1595,30,3,0
15610156,SEAR,Latitude D520,12,0,Male,2014,,1643,30,2,0
15594408,EUR,Alienware 15,12,0,Female,2015,,1800,26,1,3
15724944,SAR,Alienware 17,12,36,Male,2016,,1425,23,5,1
15612350,WPR,Opitplex 320,36,12,Female,2014,,1600,28,5,3
15800703,SAR,Optilex 750,36,36,Female,2015,,1495,27,4,1
15705707,SEAR,Optiplex 210L,36,24,Female,2017,,1508,20,3,0
15754105,WPR,Optiplex 270,36,12,Male,2016,,1412,33,0,2
15703264,AMR-S,Optiplex 270,36,36,Male,2014,,1612,34,0,3
15794413,SEAR,Optilex 750,36,24,Male,2015,,1329,35,0,1
15650237,EUR,Optiplex 210L,36,24,Female,2017,,1685,32,1,3
15759618,SAR,Dell Km117 Wireless Keyboard Mouse,36,24,Female,2018,,1670,22,4,0
15655007,SEAR,Dell MS111,24,36,Female,2018,,1214,26,1,3
15589975,AFR,Vostro 1510,12,36,Female,2015,,1372,29,0,2
15804017,AMR-N,Vostro 1510,12,36,Female,2015,,1267,20,4,3
15692132,AMR-N,Dell Km117 Wireless Keyboard Mouse,12,24,Female,2014,,1213,30,1,2
15641122,EMR,Dell PowerEdge T430 Tower Server,36,36,Male,2015,,1732,27,1,2
15630910,AMR-N,Dell Wireless Mouse WM126 ,12,12,Female,2014,,1517,20,1,1
15680772,AMR-S,Dell Wireless Mouse WM126 ,12,24,Female,2016,,1351,30,2,2
15658929,EMR,Dell Wireless Mouse WM126 ,12,24,Male,2016,,1561,40,3,0
15585388,EMR-M,Xps 15,12,24,Male,2017,,1376,23,4,2
15694366,EUR,Dell 22 Monitor - P2219H,36,0,Male,2014,,400,36,3,3
15670481,WPR,Dell 22 Monitor - P2219H,36,0,Female,2014,,360,43,0,1
15814035,SAR,Dell 22 Monitor - P2219H,36,24,Male,2014,,300,54,2,3
15587562,SEAR,Dell Wireless Mouse WM126 ,12,12,Female,2016,,1379,23,0,2
15613172,WPR,Dell Wireless Mouse WM126 ,12,0,Male,2014,,1351,34,4,1
15651022,AFR,Dell Wireless Mouse WM126 ,36,12,Male,2015,,1379,23,3,3
15726676,SAR,Dell PowerEdge R440 Rack Server,36,24,Male,2015,,1390,39,3,1
15625524,WPR,Vostro 1540 ,24,12,Male,2018,,1580,57,3,3
15645248,SEAR,Dell PowerEdge T430 Tower Server,36,36,Female,2014,,1229,89,5,2
15790355,WPR,Dell Wireless Mouse WM126 ,12,12,Male,2017,,1255,34,4,2
15762615,AFR,Dell Wireless Mouse WM126 ,12,24,Female,2018,,1429,56,3,2
15625426,AMR-N,Dell Wireless Mouse WM126 ,12,12,Female,2014,,1266,35,4,3
15716334,EMR,Xps 15,12,24,Female,2015,,1361,45,1,2
15719377,EMR-M,Dell 22 Monitor - P2219H,36,0,Female,2014,,300,54,5,3
15810845,AMR-S,Dell 22 Monitor - P2219H,36,24,Male,2016,,200,43,3,3
15741728,EMR-M,Dell 22 Monitor - P2219H,36,36,Female,2014,,300,36,3,0
15654506,EUR,Dell Wireless Mouse WM126 ,12,24,Male,2015,,1604,20,2,2
15771977,SAR,Dell Wireless Mouse WM126 ,12,0,Female,2017,,1666,33,3,3
15708710,WPR,Dell Monitor?E2216HV),36,0,Female,2018,,1285,34,4,3
15729362,SAR,Dell PowerEdge R440 Rack Server,36,0,Male,2015,,1390,36,4,2
15587421,SEAR,Vostro 1540 ,24,12,Female,2018,,2648,32,2,2
15701164,WPR,Alienware 15,12,24,Female,2015,,3050,27,0,3
15679200,WPR,Alienware 17,12,36,Male,2016,,2800,24,2,2
15777892,AMR-S,Opitplex 320,36,0,Male,2014,,2468,29,2,1
15811127,EUR,Dell MS 116 Wired Optical Mouse,12,0,Male,2017,,2659,20,1,0
15604482,SAR,Dell Dual Video USB 3.0 Docking Station - D1000,12,24,Male,2018,,2577,30,3,2
15622911,WPR,Dell MS 116 Wired Optical Mouse,12,24,Male,2015,,2708,27,0,0
15600974,SAR,Dell KB216 Wired Multimedia USB Keyboard,12,0,Male,2018,,2626,20,4,1
15727868,SEAR,Dell KB216 Wired Multimedia USB Keyboard,12,0,Female,2014,,2720,30,3,1
